"时间","订单编号","总价","优惠","次卡","挂帐金额","现金","微信","支付宝","刷卡","校园卡","会员卡","应收","抹零","充值金额","充值赠送","实收"
"2017-01-14","seek02_2493225919151452",18.05,0,0,0,0,18.05,0,0,0,0,18.05,0,0,0,18.05
"2017-01-08","seek021483818937560",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818925580",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818477750",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818474701",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818468269",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-10","seek021484030807380",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-10","seek021484030804056",0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,1,0.05
"2017-01-10","seek021484030798658",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-10","seek021484019475658",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484293572695",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484255701545",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484253334887",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484252912324",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"合计","-",2117.7,17.91,36,0,1199.9099999999996,864.05,0,0,0,0,2063.79,0,0.17000000000000004,241,2063.96
